hash;Avast;AVG;BitDefender;ESET-NOD32;FireEye;Kaspersky;McAfee;Microsoft;Symantec;TrendMicro;detections;Neural Network;Malware
039ae826f4740709dc1c1073ff37d9e8;1;1;1;1;1;1;1;1;1;1;10;1;1
f4665b0ee0e21910e4118e536314a6e8;0;1;1;1;1;1;1;1;1;1;9;1;1
cab22dc868f772cb746ea8108db12050;1;1;1;1;1;1;1;1;1;1;10;1;1
a407b5e8d4fccbb17f9fd2cae3a0a9f1;1;1;1;1;1;1;1;1;1;1;10;1;1
c1c3193be1bb72c98cc43d8ff05c915c;1;1;1;1;1;1;1;1;1;1;10;1;1
a5a62c220296b7aabdb62ef4d8481ce4;1;1;1;1;0;1;1;1;1;1;9;1;1
ef103e4c46c6e6e01fe56c1a5d9ef6a3;1;1;1;1;1;1;1;1;1;1;10;1;1
5cfacc34c063d14b2a10e99b1512c532;1;1;1;1;1;1;1;1;1;1;10;1;1
c34c046a8b2e78df3973a4ea36908ad9;1;1;1;1;1;1;1;1;1;1;10;1;1
ae12ad4da92ff111c04ee53189319dc4;1;1;1;1;1;1;1;1;1;1;10;1;1
4c3d20ca3fc75952757ada2adfd50761;0;0;0;1;1;0;0;1;0;0;3;1;1
fd6a8b3d1d08c0a73e7023286cff9718;1;1;1;1;1;1;1;1;1;1;10;1;1
969a8477f79fde1151cb063057cc0d8b;1;1;1;1;1;1;1;1;1;1;10;1;1
c0b17f93823d4c4de913f646154e8523;1;1;1;1;1;1;1;1;1;1;10;1;1
903746d6c18aef7b3acbf91fb0b1ba11;1;1;1;1;1;1;1;1;1;1;10;1;1
516bf57245ca5056855c405061300575;1;1;1;1;1;1;1;1;1;1;10;0;1
6d2895ec61a76093bf070774fb459f44;1;1;1;1;1;1;1;1;1;1;10;1;1
b2e7062ed44ea9c304b37aef08db9146;1;1;1;1;1;1;1;1;1;1;10;1;1
f2ab3a196904d13f05a5bf5b19278cae;1;1;1;1;1;1;1;1;1;1;10;0;1
470de7ca44528d25343c82aa70ef304b;0;0;1;1;0;0;0;1;1;1;5;1;1
dd722a34be9ee198f776a91e8b240de8;1;1;1;1;1;1;1;1;1;1;10;1;1
c44945b3ae7f4dee7a99340e3245a246;1;1;1;0;1;1;1;1;1;1;9;1;1
42f147f01293f910a3424cb8f1ec718e;1;1;1;1;1;1;1;1;1;1;10;1;1
c7d73ff9743fd8abcda7466f70aa3085;1;1;1;1;1;1;1;1;1;1;10;1;1
938b8214395f3dde41c1646af5558dcf;1;1;1;1;1;1;1;1;1;1;10;1;1
44c12dbc71b234006fa9d1a9e96ca81b;1;1;1;1;1;1;1;1;1;1;10;1;1
e98ec88d913d9f1cd401272d831888be;1;1;1;1;1;1;1;1;1;1;10;1;1
383949d00c81b2a7ca1c5b225a4e268d;1;1;1;1;1;1;1;1;1;1;10;1;1
761931070029a597a702373d5f49f71d;1;1;1;1;1;1;1;1;1;1;10;1;1
bd0cccb00c2af56c6fee9d748541b370;1;1;1;1;1;1;1;1;1;1;10;1;1
1e0bf446bd7dea1dff100ba66804045a;0;0;0;0;0;1;0;0;1;0;2;1;1
807e68132cc9f6def300da6cd8c6417c;1;1;1;1;1;1;1;1;1;1;10;1;1
bdad7cf32c55233a29a52feba81f140e;1;1;1;1;1;1;1;1;1;1;10;1;1
2a139548a65ca38b30a21f90c3e09241;1;1;1;1;1;1;1;1;1;1;10;1;1
